service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20260405,20260613
2,0,0,1,0,0,0,0,20260405,20260613
3,1,1,0,1,1,0,0,20260405,20260613
4,1,1,0,1,1,0,0,20260405,20260613
5,1,1,1,1,1,0,0,20260405,20260613
6,1,1,1,1,1,0,0,20260405,20260613
7,1,1,1,1,1,0,0,20260405,20260613
8,1,1,1,1,0,0,0,20260405,20260613
9,0,0,1,0,0,0,0,20260405,20260613
10,0,0,1,0,0,0,0,20260405,20260613
11,0,0,0,0,0,1,0,20260405,20260613
12,0,0,0,0,1,0,0,20260405,20260613
13,1,1,1,1,1,0,0,20260405,20260613
14,1,1,1,1,1,0,0,20260405,20260613
15,0,0,1,0,0,0,0,20260405,20260613
16,1,1,0,1,1,0,0,20260405,20260613
17,1,1,1,1,1,0,0,20260405,20260613
18,1,0,0,0,0,0,0,20260405,20260613
19,1,1,0,1,1,0,0,20260405,20260613
20,0,1,1,1,1,0,0,20260405,20260613
21,1,1,1,1,1,0,0,20260405,20260613
22,1,1,0,1,1,0,0,20260405,20260613
23,0,1,0,0,0,0,0,20260405,20260613
24,0,0,1,0,0,0,0,20260405,20260613
25,1,1,1,1,0,0,0,20260405,20260613
26,0,0,0,0,1,0,0,20260405,20260613
27,0,0,0,0,1,0,0,20260405,20260613
28,1,1,1,1,1,0,0,20260405,20260613
29,1,1,1,1,1,0,0,20260405,20260613
30,1,1,1,1,1,0,0,20260405,20260613
31,1,1,0,0,1,0,0,20260405,20260613
32,1,1,1,1,1,0,0,20260405,20260613
33,1,1,1,1,1,0,0,20260405,20260613
34,1,1,0,1,1,0,0,20260405,20260613
35,0,0,0,0,0,0,1,20260405,20260613
36,1,1,0,1,1,0,0,20260405,20260613
37,0,1,0,1,1,0,0,20260405,20260613
38,1,1,1,1,1,0,0,20260405,20260613
39,1,1,0,1,1,0,0,20260405,20260613
40,0,0,1,1,0,0,0,20260405,20260613
41,1,1,1,1,1,0,0,20260405,20260613
42,1,1,1,1,1,0,0,20260405,20260613
43,1,1,1,1,1,0,0,20260405,20260613
44,1,1,1,1,1,0,0,20260405,20260613
45,1,1,1,1,1,0,0,20260405,20260613
46,1,1,0,0,1,0,0,20260405,20260613
47,0,1,0,1,0,0,0,20260405,20260613
48,0,0,1,0,0,0,0,20260405,20260613
49,1,1,1,1,1,0,0,20260405,20260613
50,1,1,1,1,0,0,0,20260405,20260613
51,1,0,0,1,1,0,0,20260405,20260613
52,0,0,1,1,0,0,0,20260405,20260613
53,0,0,0,1,1,0,0,20260405,20260613
11-1,0,0,0,0,1,0,0,20260405,20260612
33-1,1,1,1,1,0,0,1,20260405,20260612
35-1,0,0,0,0,0,1,0,20260405,20260612
