trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3438020,12,33,"Northwest Berkeley",,1,12003,shp-12-05,0,0
5462010,12,35,"Northwest Berkeley",,1,12006,shp-12-05,0,0
9626020,12,33,"Northwest Berkeley",,1,12011,shp-12-05,0,0
1944010,12,35,"Northwest Berkeley",,1,12002,shp-12-05,0,0
13980010,12,35,"Northwest Berkeley",,1,12006,shp-12-05,0,0
6969010,12,35,"Northwest Berkeley",,1,12006,shp-12-05,0,0
6989020,12,33,"Northwest Berkeley",,1,12009,shp-12-05,0,0
6854020,12,33,"Northwest Berkeley",,1,12005,shp-12-05,0,0
5643020,12,33,"Northwest Berkeley",,1,12009,shp-12-05,0,0
1617020,12,33,"Northwest Berkeley",,1,12001,shp-12-05,0,0
6398070,12,11,"Northwest Berkeley",,1,12006,shp-12-05,0,0
12653010,12,35,"Northwest Berkeley",,1,12005,shp-12-05,0,0
275020,12,33,"Northwest Berkeley",,1,12007,shp-12-05,0,0
1420020,12,33,"Northwest Berkeley",,1,12003,shp-12-05,0,0
2541020,12,33,"Northwest Berkeley",,1,12006,shp-12-05,0,0
3755020,12,33,"Northwest Berkeley",,1,12003,shp-12-05,0,0
13963010,12,35,"Northwest Berkeley",,1,12004,shp-12-05,0,0
13162010,12,35,"Northwest Berkeley",,1,12004,shp-12-05,0,0
8080070,12,11,"Northwest Berkeley",,1,12001,shp-12-05,0,0
2288070,12,11,"Northwest Berkeley",,1,12001,shp-12-05,0,0
4304010,12,35,"Northwest Berkeley",,1,12003,shp-12-05,0,0
12064020,12,33,"Northwest Berkeley",,1,12004,shp-12-05,0,0
6739070,12,11,"Northwest Berkeley",,1,12006,shp-12-05,0,0
12666020,12,33,"Northwest Berkeley",,1,12009,shp-12-05,0,0
4418070,12,11,"Northwest Berkeley",,1,12002,shp-12-05,0,0
12232020,12,33,"Northwest Berkeley",,1,12007,shp-12-05,0,0
12938010,12,35,"Northwest Berkeley",,1,12002,shp-12-05,0,0
2408010,12,35,"Northwest Berkeley",,1,12004,shp-12-05,0,0
5186010,12,35,"Northwest Berkeley",,1,12001,shp-12-05,0,0
8844020,12,33,"Northwest Berkeley",,1,12004,shp-12-05,0,0
9286020,12,33,"Northwest Berkeley",,1,12008,shp-12-05,0,0
462070,12,11,"Northwest Berkeley",,1,12002,shp-12-05,0,0
9600010,12,35,"Northwest Berkeley",,1,12003,shp-12-05,0,0
1137020,12,33,"Northwest Berkeley",,1,12010,shp-12-05,0,0
5002010,12,35,"Northwest Berkeley",,1,12001,shp-12-05,0,0
